seed,dataset,model,training_mode,augmentation,best_epoch,val_acc_best,num_params,gflops,acc_test,f1_macro_test,f1_weighted_test,confusion_matrix
42,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,scratch,True,15,0.9736842105263158,5861266,0.647596928,0.8695652173913043,0.8673076923076923,0.8673076923076924,"[[23, 0], [6, 17]]"
42,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,scratch,False,27,0.9473684210526315,5861266,0.647596928,0.9130434782608695,0.9130434782608695,0.9130434782608695,"[[21, 2], [2, 21]]"
42,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,feature_extraction,True,2,0.4473684210526316,5861266,0.647596928,0.5869565217391305,0.5771649733913884,0.5771649733913885,"[[10, 13], [6, 17]]"
42,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,feature_extraction,False,39,0.5,5861266,0.647596928,0.41304347826086957,0.38968058968058966,0.38968058968058966,"[[14, 9], [18, 5]]"
42,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,fine_tuning,True,30,0.9473684210526315,5861266,0.647596928,1.0,1.0,1.0,"[[23, 0], [0, 23]]"
42,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,fine_tuning,False,21,0.8947368421052632,5861266,0.647596928,0.9347826086956522,0.9345040341718083,0.9345040341718083,"[[23, 0], [3, 20]]"
42,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,scratch,True,31,0.9736842105263158,6862614,0.945369984,0.8695652173913043,0.8685714285714285,0.8685714285714284,"[[22, 1], [5, 18]]"
42,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,scratch,False,16,0.8947368421052632,6862614,0.945369984,0.782608695652174,0.780952380952381,0.780952380952381,"[[20, 3], [7, 16]]"
42,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,feature_extraction,True,2,0.5263157894736842,6862614,0.945369984,0.4782608695652174,0.3839285714285714,0.3839285714285714,"[[2, 21], [3, 20]]"
42,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,feature_extraction,False,2,0.47368421052631576,6862614,0.945369984,0.5434782608695652,0.47126436781609193,0.47126436781609193,"[[4, 19], [2, 21]]"
42,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,fine_tuning,True,25,0.9736842105263158,6862614,0.945369984,0.9565217391304348,0.9565217391304348,0.9565217391304348,"[[22, 1], [1, 22]]"
42,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,fine_tuning,False,22,0.9473684210526315,6862614,0.945369984,0.9565217391304348,0.956439393939394,0.956439393939394,"[[23, 0], [2, 21]]"
123,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,scratch,True,24,0.9736842105263158,5861266,0.647596928,0.9782608695652174,0.9782505910165484,0.9782505910165484,"[[22, 1], [0, 23]]"
123,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,scratch,False,33,0.9210526315789473,5861266,0.647596928,0.8478260869565217,0.8477541371158392,0.8477541371158392,"[[20, 3], [4, 19]]"
123,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,feature_extraction,True,20,0.6052631578947368,5861266,0.647596928,0.6304347826086957,0.6302600472813239,0.6302600472813239,"[[14, 9], [8, 15]]"
123,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,feature_extraction,False,12,0.5789473684210527,5861266,0.647596928,0.5652173913043478,0.5643939393939394,0.5643939393939393,"[[12, 11], [9, 14]]"
123,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,fine_tuning,True,34,1.0,5861266,0.647596928,0.9782608695652174,0.9782505910165484,0.9782505910165484,"[[22, 1], [0, 23]]"
123,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,fine_tuning,False,9,0.868421052631579,5861266,0.647596928,0.9347826086956522,0.9347517730496454,0.9347517730496454,"[[22, 1], [2, 21]]"
123,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,scratch,True,13,0.9736842105263158,6862614,0.945369984,0.8695652173913043,0.8673076923076923,0.8673076923076924,"[[23, 0], [6, 17]]"
123,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,scratch,False,50,0.9736842105263158,6862614,0.945369984,0.8913043478260869,0.8912529550827423,0.8912529550827423,"[[21, 2], [3, 20]]"
123,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,feature_extraction,True,36,0.7631578947368421,6862614,0.945369984,0.6521739130434783,0.6521739130434783,0.6521739130434783,"[[15, 8], [8, 15]]"
123,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,feature_extraction,False,10,0.7631578947368421,6862614,0.945369984,0.5434782608695652,0.5415282392026578,0.5415282392026578,"[[14, 9], [12, 11]]"
123,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,fine_tuning,True,7,0.9736842105263158,6862614,0.945369984,0.9782608695652174,0.9782505910165484,0.9782505910165484,"[[23, 0], [1, 22]]"
123,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,fine_tuning,False,8,0.9473684210526315,6862614,0.945369984,0.9130434782608695,0.9130434782608695,0.9130434782608695,"[[21, 2], [2, 21]]"
2025,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,scratch,True,9,0.9473684210526315,5861266,0.647596928,0.9130434782608695,0.9123809523809524,0.9123809523809523,"[[23, 0], [4, 19]]"
2025,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,scratch,False,43,0.9736842105263158,5861266,0.647596928,0.9347826086956522,0.9345040341718083,0.9345040341718083,"[[23, 0], [3, 20]]"
2025,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,feature_extraction,True,3,0.6578947368421053,5861266,0.647596928,0.4782608695652174,0.4772727272727273,0.47727272727272724,"[[10, 13], [11, 12]]"
2025,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,feature_extraction,False,3,0.631578947368421,5861266,0.647596928,0.5217391304347826,0.498015873015873,0.498015873015873,"[[17, 6], [16, 7]]"
2025,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,fine_tuning,True,34,1.0,5861266,0.647596928,0.9782608695652174,0.9782505910165484,0.9782505910165484,"[[22, 1], [0, 23]]"
2025,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,fine_tuning,False,36,0.9736842105263158,5861266,0.647596928,0.9565217391304348,0.956439393939394,0.956439393939394,"[[21, 2], [0, 23]]"
2025,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,scratch,True,36,1.0,6862614,0.945369984,0.8913043478260869,0.8912529550827423,0.8912529550827423,"[[20, 3], [2, 21]]"
2025,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,scratch,False,14,0.9736842105263158,6862614,0.945369984,0.8478260869565217,0.8471760797342193,0.8471760797342193,"[[18, 5], [2, 21]]"
2025,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,feature_extraction,True,29,0.7631578947368421,6862614,0.945369984,0.5434782608695652,0.532656023222061,0.532656023222061,"[[9, 14], [7, 16]]"
2025,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,feature_extraction,False,10,0.7894736842105263,6862614,0.945369984,0.5434782608695652,0.5415282392026578,0.5415282392026578,"[[11, 12], [9, 14]]"
2025,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,fine_tuning,True,16,0.9736842105263158,6862614,0.945369984,0.9782608695652174,0.9782505910165484,0.9782505910165484,"[[23, 0], [1, 22]]"
2025,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,fine_tuning,False,16,0.9736842105263158,6862614,0.945369984,0.9565217391304348,0.956439393939394,0.956439393939394,"[[23, 0], [2, 21]]"
42,NDB-UFES,tf_efficientnetv2_b0.in1k,scratch,True,10,0.6410256410256411,5862547,0.647598208,0.5384615384615384,0.4142857142857143,0.4780219780219781,"[[12, 1, 2], [7, 0, 2], [6, 0, 9]]"
42,NDB-UFES,tf_efficientnetv2_b0.in1k,scratch,False,39,0.6153846153846154,5862547,0.647598208,0.48717948717948717,0.41919191919191917,0.45804195804195813,"[[8, 1, 6], [6, 1, 2], [4, 1, 10]]"
42,NDB-UFES,tf_efficientnetv2_b0.in1k,feature_extraction,True,1,0.5641025641025641,5862547,0.647598208,0.46153846153846156,0.39979565027003355,0.43763403433524584,"[[9, 1, 5], [5, 1, 3], [5, 2, 8]]"
42,NDB-UFES,tf_efficientnetv2_b0.in1k,feature_extraction,False,30,0.5897435897435898,5862547,0.647598208,0.5641025641025641,0.5359144988909054,0.5697798873842431,"[[11, 2, 2], [1, 3, 5], [2, 5, 8]]"
42,NDB-UFES,tf_efficientnetv2_b0.in1k,fine_tuning,True,5,0.5897435897435898,5862547,0.647598208,0.38461538461538464,0.37777777777777777,0.4230769230769231,"[[7, 8, 0], [6, 1, 2], [2, 6, 7]]"
42,NDB-UFES,tf_efficientnetv2_b0.in1k,fine_tuning,False,5,0.6410256410256411,5862547,0.647598208,0.4358974358974359,0.41494949494949496,0.4480186480186481,"[[8, 6, 1], [5, 2, 2], [5, 3, 7]]"
42,NDB-UFES,tf_efficientnetv2_b1.in1k,scratch,True,15,0.5641025641025641,6863895,0.945371264,0.46153846153846156,0.4318181818181818,0.45979020979020974,"[[10, 4, 1], [7, 2, 0], [8, 1, 6]]"
42,NDB-UFES,tf_efficientnetv2_b1.in1k,scratch,False,25,0.5384615384615384,6863895,0.945371264,0.4358974358974359,0.4176587301587302,0.43063186813186816,"[[9, 3, 3], [1, 3, 5], [7, 3, 5]]"
42,NDB-UFES,tf_efficientnetv2_b1.in1k,feature_extraction,True,21,0.46153846153846156,6863895,0.945371264,0.2564102564102564,0.26031746031746034,0.2542124542124542,"[[4, 4, 7], [3, 3, 3], [8, 4, 3]]"
42,NDB-UFES,tf_efficientnetv2_b1.in1k,feature_extraction,False,45,0.5128205128205128,6863895,0.945371264,0.3333333333333333,0.3284072249589491,0.33497536945812806,"[[4, 5, 6], [4, 3, 2], [5, 4, 6]]"
42,NDB-UFES,tf_efficientnetv2_b1.in1k,fine_tuning,True,4,0.5897435897435898,6863895,0.945371264,0.5128205128205128,0.49869281045751634,0.5292609351432881,"[[9, 6, 0], [5, 3, 1], [5, 2, 8]]"
42,NDB-UFES,tf_efficientnetv2_b1.in1k,fine_tuning,False,42,0.5897435897435898,6863895,0.945371264,0.5384615384615384,0.5098608590441621,0.5397179952533855,"[[6, 7, 2], [5, 3, 1], [3, 0, 12]]"
123,NDB-UFES,tf_efficientnetv2_b0.in1k,scratch,True,12,0.6666666666666666,5862547,0.647598208,0.38461538461538464,0.33904761904761904,0.3912087912087912,"[[8, 6, 1], [7, 0, 2], [5, 3, 7]]"
123,NDB-UFES,tf_efficientnetv2_b0.in1k,scratch,False,46,0.5897435897435898,5862547,0.647598208,0.38461538461538464,0.34171275347745933,0.3771899292261284,"[[5, 5, 5], [3, 1, 5], [3, 3, 9]]"
123,NDB-UFES,tf_efficientnetv2_b0.in1k,feature_extraction,True,45,0.5384615384615384,5862547,0.647598208,0.3333333333333333,0.32007575757575757,0.33085664335664333,"[[7, 5, 3], [5, 3, 1], [5, 7, 3]]"
123,NDB-UFES,tf_efficientnetv2_b0.in1k,feature_extraction,False,38,0.5384615384615384,5862547,0.647598208,0.23076923076923078,0.22101010101010102,0.22424242424242427,"[[5, 4, 6], [5, 2, 2], [8, 5, 2]]"
123,NDB-UFES,tf_efficientnetv2_b0.in1k,fine_tuning,True,13,0.6666666666666666,5862547,0.647598208,0.46153846153846156,0.45501165501165497,0.4830554061323292,"[[6, 8, 1], [5, 3, 1], [4, 2, 9]]"
123,NDB-UFES,tf_efficientnetv2_b0.in1k,fine_tuning,False,30,0.6666666666666666,5862547,0.647598208,0.46153846153846156,0.43413122824887534,0.46472155295684714,"[[7, 5, 3], [6, 2, 1], [5, 1, 9]]"
123,NDB-UFES,tf_efficientnetv2_b1.in1k,scratch,True,30,0.5641025641025641,6863895,0.945371264,0.46153846153846156,0.3647912885662432,0.42091302526874214,"[[9, 2, 4], [8, 0, 1], [6, 0, 9]]"
123,NDB-UFES,tf_efficientnetv2_b1.in1k,scratch,False,27,0.6153846153846154,6863895,0.945371264,0.5128205128205128,0.49819376026272577,0.5089048882152329,"[[9, 2, 4], [4, 3, 2], [7, 0, 8]]"
123,NDB-UFES,tf_efficientnetv2_b1.in1k,feature_extraction,True,19,0.4358974358974359,6863895,0.945371264,0.4358974358974359,0.40065681444991785,0.4183402804092459,"[[5, 2, 8], [5, 2, 2], [4, 1, 10]]"
123,NDB-UFES,tf_efficientnetv2_b1.in1k,feature_extraction,False,30,0.4358974358974359,6863895,0.945371264,0.3333333333333333,0.3266106442577031,0.3329023917259211,"[[5, 2, 8], [6, 2, 1], [8, 1, 6]]"
123,NDB-UFES,tf_efficientnetv2_b1.in1k,fine_tuning,True,30,0.5384615384615384,6863895,0.945371264,0.5641025641025641,0.5265068990559186,0.5713088654265125,"[[9, 5, 1], [7, 2, 0], [3, 1, 11]]"
123,NDB-UFES,tf_efficientnetv2_b1.in1k,fine_tuning,False,39,0.5384615384615384,6863895,0.945371264,0.5641025641025641,0.5449485783424077,0.5640094932290939,"[[6, 6, 3], [5, 4, 0], [3, 0, 12]]"
2025,NDB-UFES,tf_efficientnetv2_b0.in1k,scratch,True,37,0.6410256410256411,5862547,0.647598208,0.38461538461538464,0.377293809235733,0.38675601470519805,"[[5, 5, 5], [4, 3, 2], [6, 2, 7]]"
2025,NDB-UFES,tf_efficientnetv2_b0.in1k,scratch,False,23,0.6410256410256411,5862547,0.647598208,0.358974358974359,0.34703305455993627,0.36965352449223415,"[[5, 7, 3], [5, 2, 2], [6, 2, 7]]"
2025,NDB-UFES,tf_efficientnetv2_b0.in1k,feature_extraction,True,7,0.3333333333333333,5862547,0.647598208,0.23076923076923078,0.23376623376623376,0.22577422577422576,"[[3, 5, 7], [1, 4, 4], [3, 10, 2]]"
2025,NDB-UFES,tf_efficientnetv2_b0.in1k,feature_extraction,False,47,0.38461538461538464,5862547,0.647598208,0.38461538461538464,0.38580246913580246,0.38105413105413105,"[[5, 4, 6], [3, 5, 1], [4, 6, 5]]"
2025,NDB-UFES,tf_efficientnetv2_b0.in1k,fine_tuning,True,7,0.6410256410256411,5862547,0.647598208,0.5897435897435898,0.5896513022949804,0.596450803347355,"[[7, 6, 2], [3, 6, 0], [4, 1, 10]]"
2025,NDB-UFES,tf_efficientnetv2_b0.in1k,fine_tuning,False,4,0.5128205128205128,5862547,0.647598208,0.4358974358974359,0.42610229276895945,0.44770044770044776,"[[6, 5, 4], [6, 3, 0], [3, 4, 8]]"
2025,NDB-UFES,tf_efficientnetv2_b1.in1k,scratch,True,17,0.5641025641025641,6863895,0.945371264,0.4358974358974359,0.32929292929292925,0.37995337995337997,"[[12, 2, 1], [8, 0, 1], [10, 0, 5]]"
2025,NDB-UFES,tf_efficientnetv2_b1.in1k,scratch,False,45,0.5641025641025641,6863895,0.945371264,0.41025641025641024,0.36249154834347536,0.40015993134654393,"[[5, 6, 4], [5, 1, 3], [4, 1, 10]]"
2025,NDB-UFES,tf_efficientnetv2_b1.in1k,feature_extraction,True,1,0.38461538461538464,6863895,0.945371264,0.3333333333333333,0.2246376811594203,0.25919732441471577,"[[11, 1, 3], [6, 0, 3], [12, 1, 2]]"
2025,NDB-UFES,tf_efficientnetv2_b1.in1k,feature_extraction,False,1,0.41025641025641024,6863895,0.945371264,0.358974358974359,0.24991948470209338,0.28836863619472314,"[[11, 1, 3], [7, 0, 2], [12, 0, 3]]"
2025,NDB-UFES,tf_efficientnetv2_b1.in1k,fine_tuning,True,6,0.6410256410256411,6863895,0.945371264,0.5641025641025641,0.5353641456582633,0.5600355526826115,"[[10, 3, 2], [4, 3, 2], [5, 1, 9]]"
2025,NDB-UFES,tf_efficientnetv2_b1.in1k,fine_tuning,False,10,0.6153846153846154,6863895,0.945371264,0.5897435897435898,0.5558654496281271,0.5870845685754408,"[[10, 3, 2], [4, 3, 2], [3, 2, 10]]"
